CNN,ATT
ATT,CNN,CNN
seanhannity,maddow,CNN!
nytimes,washingtonpost.
nytimes,CNN
DonnyDeutsch,ErinBurnett
senatemajldr,MarkWarner
senatemajldr,MarkWarner
GStephanopoulos,ABC.
FoxNews,abcnews,BretBaier
FoxNews,foxandfriends,MariaBartiromo
NBCNews,MSNBC
FoxNews,CNN
FoxNews,nytimes
FoxNews,donnabrazile,CNN
nytimes,washingtonpost
SteveHiltonx,NextRevFNC
marthamaccallum,FoxNews
PeteHegseth,foxandfriends
FoxNews.,OANN!
FoxNews,SandraSmithFox.,CNN,MSNBC....
jonathancarl,ABCWorldNews.
jonkarl,ABCWorldNews.
PhilipRucker,"AshleyRParker,"
"johnlegend,",LesterHoltNBC
CNN,MSNBC
CLewandowski_,foxandfriends
"GMA,",GStephanopoulos
nytimes,washingtonpost
FoxNews,FoxNews
ShannonBream,FoxNews
marklevinshow,FoxNews,"FoxNews,"
greggutfeld,GregGutfeldShow,FoxNews
"LindseyGraham,",SenateMajLdr
SteveDoocy,foxandfriends
FoxNews,BillHemmer
SteveDoocy,foxandfriends
SteveScalese,FoxNews
SteveScalise,FoxNews
MariaBartiromo,FoxNews
ShannonBream,FoxNews
DevinNunes,FoxNews
Cline4Virginia,RepAndyBiggsAZ
FoxNews,RepSwalwell,FoxNews
MariaBartiromo,DevinNunes
kilmeade,foxandfriends
LindseyGrahamSC,MariaBartiromo
DevinNunes,MariaBartiromo,FoxNews
GreggJarrett,foxandfriends
paulkrugman,"nytimes,"
"FoxNews,",OANN,CNN
seanhannity,FoxNews
LeeSmithDC,IngrahamAngle,FoxNews
foxnews,"TeamCavuto,"
CNN,TulsiGabbard
FoxNews,GreggJarrett
CNN,CDCgov.....
CNN,trish_regan,FoxNews
CNN,trish_regan,FoxNews
"JohnJHarwood,",CNN.
"nytimes,","washingtonpost,",comcast,"ABC,",CBSNews
FoxNews,CNN,FoxNews
HHSGov,SecAzar,VP
amyklobuchar,PeteButtigieg
foxandfriends,CNN’s
"JBPritzker,",CNN
"nytimes,","washingtonpost,"
"nytimes,","washingtonpost,",CNN
nytimes,washingtonpost
FoxNews.,FoxNews.
nytimes,SecAzar,PeterNavarroUSA
nytimes,SecAzar
donnabrazile,"FoxNews,"
FoxNews,CNN,FoxNews
nytimes,washingtonpost
NBCNews),CNN
PeteHegseth,foxandfriends
MikeGarcia2020.,GavinNewsom
GavinNewsom,"MikeGarcia2020,"
GavinNewsom,"MikeGarcia2020,"
CBS,"60Minutes,"
AjitPaiFCC,FCC
FCC,NBC
nytimes,washingtonpost
foxandfriends,CNN
60Minutes,"NorahODonnell,"
60Minutes,"SecAzar,"
NorahODonnell,60Minutes
marklevinshow,FoxNews.
RussVought45,USTreasury
"DougJones,",TTuberville
GreggJarrett,FoxNews
"nytimes,",PulitzerPrizes
MariaBartiromo,foxandfriends
nytimes,"washingtonpost,"
NYCMayor,NYGovCuomo
nytimes,washingtonpost.
CharlesHurt,IngrahamAngle
foxandfriends,"SeanParnellUSA,",GovMikeHuckabee.
nytimes,TomCottonAR.
FoxNews,seanhannity,CNN
VP,MarkMeadows,nytimes.
nytimes,FoxNews
VP.,"nytimesbooks,"
foxandfriends,CNN
CNN,FoxNews
CNN,FoxNews.
CNN,FoxNews.
FoxNews,CNN,OANN,newsmax
TTuberville,DougJones
FoxNews,DHSgov
JoeNBC).,foxandfriends,CNN
"Scaramucci,","SteveHiltonx,"
nytimes,CNN.
"CNN,",foxandfriends
FoxNews,CNN.,OANN.
FoxNews,RepDebDingell.
CNN,FoxNews
TheJusticeDept,FBI
BreitbartNews,FoxNews
HawleyMO,MarshaBlackburn
"CNN,","nytimes,"
"NBA,",FoxNews
NBCNews,cspan
"SeanParnellUSA,",TheJusticeDept
nytimes,Google.,CNN.
"nytimes,","CNN,","andersoncooper,"
mschlapp,AdamLaxalt
Pfizer,US_FDA
"FoxNews,","QuinnipiacPoll,"
FoxNews,FoxNews!
SenJohnKennedy,MariaBartiromo,TheJusticeDept
seanhannity,LouDobbs
FoxNews,alfredenewman1,OANN,"newsmax,"
FoxNews,"OANN,","newsmax,"
OANN,dougducey?
OANN,FoxNews
DougDucey,BrianKempGA
FoxNews,"OANN,",newsmax
BrianKempGA,"GeoffDuncanGA,"
"BrianKempGA,","GeoffDuncanGA,",sendavidperdue,KLoeffler.
BrianKempGA,GeoffDuncanGA.
BrianKempGA,RepDougCollins
US_FDA,SteveFDA.
BrianKempGA,dougducey
BreitbartNews,BrianKempGA.
staceyabrams,BrianKempGA
"OANN,",SenRonJohnson
FoxNews,"donnabraziIe,",FoxNews
BrianKempGA,"GeoffDuncanGA,",KLoeffler
"BrianKempGA,","GeoffDuncanGA,",staceyabrams
OANN,newsmax,BrianKempGA
FoxNews,CNN.
"KristiNoem,","SenJohnThune,"
FoxNews,OANN!
"BrianKempGA,","GeoffDuncanGA,"
senatemajldr,JohnCornyn,SenJohnThune
KLoeffler,sendavidperdue
DeptofDefense,TheJusticeDept,DHSgov,DHS_Wolf,SecBernhardt,SecretService,FBI
