title,channel_title,views,likes,dislikes,comment_total,,,,,,,,,,
Farage to Juncker: You've Learnt Nothing from Brexit,Ross Kempsell,8940,72,10,49,,,,,,,,,,
Gucci Mane - Curve feat The Weeknd [Official Audio],OfficialGucciMane,482637,28975,336,2423,,,,,,,,,,
The Child in Time: Trailer - BBC One,BBC,57168,1305,17,176,,,,,,,,,,
The xx - On Hold (Jamie xx Remix),The xx,111776,4848,68,311,,,,,,,,,,
Bell's Theorem: The Quantum Venn Diagram Paradox,minutephysics,292538,16890,322,1834,,,,,,,,,,
"Enzo Amore vs. The Miz: Raw, Sept. 11, 2017",WWE,746904,12073,755,1562,,,,,,,,,,
Rudimental - Sun Comes Up feat. James Arthur [Official Video],Rudimental,304490,10867,171,385,,,,,,,,,,
The Clowns Who Say the 'IT' Movie Could Ruin Their Careers | This Morning,This Morning,207071,2021,1977,0,,,,,,,,,,
Does Maggie Gyllenhaal Have Taylor Swiftâ€™s Scarf? | WWHL,Watch What Happens Live with Andy Cohen,87061,220,43,115,,,,,,,,,,
"Action Bronson and Sean Evans Have a Sandwich Showdown, Judged by Mario Batali | Sean in the Wild",First We Feast,579530,17842,277,1852,,,,,,,,,,
THIS MADE MY DAD CRY! | Story of my Comeback Competition,Nile Wilson,214481,12908,125,937,,,,,,,,,,
Harry Styles - The Chain (Fleetwood Mac cover) in the Live Lounge,BBCRadio1VEVO,1247121,68785,1092,4582,,,,,,,,,,
