ISO_code,countries,region,personal freedom,economic freedom,human freedom,Demography,Education,Environmental sustainability,Gender,Health,Human Security,Income/composition of resources,Inequality,Poverty,Socio-economic sustainability,Trade and financial flows,"Work, employment and vulnerability",Happy Index
PRT,Portugal,Western Europe,9.043712243,7.51,8.276856122,139.46,235.459,0.856,55307.533,247.945,0,55710.747,69.459,0,68.3,90.51,348.4,24.8
QAT,Qatar,Middle East & North Africa,5.525552977,7.49,6.507776488,122.95,278.298,0.833,195295.95,239.797,0,234210.8,18.763,0,0,-4.1,372.2,21.2
ROU,Romania,Eastern Europe,8.653232499,7.69,8.171616249,141.76,345.162,0.947,45886.017,248.555,1.2,46471.919,60.075,0,104.4,85.43,331.1,28.8
RUS,Russia,Eastern Europe,5.714381665,6.83,6.272190833,394.05,370.232,0.956,49514.307,219.388,61.6,52658.229,49.66,0.1,120,49.21,353.1,18.7
RWA,Rwanda,Sub-Saharan Africa,6.467739051,7.48,6.973869526,115.12,91.95,0.849,4173.14,209.131,259,3729.938,150.82,70.8,23.4,54.66,518.8,19.6
SAU,Saudi Arabia,Middle East & North Africa,4.438732069,6.52,5.479366035,185.03,295.787,0.908,91559.165,230.442,1.2,100403.238,26.527,0.2,28.2,61.74,331.7,22.6
SEN,Senegal,Sub-Saharan Africa,6.774187769,6.22,6.497093885,160.14,86.868,0.945,5398.455,216.03,26.6,4963.679,161.06,63.2,28.5,83.47,361.6,21.9
SRB,Serbia,Eastern Europe,7.847943252,6.85,7.348971626,124.65,344.278,0.957,26501.74,242.851,35,27240.135,76.397,0.5,81.3,124.96,375.3,29
SYC,Seychelles,Sub-Saharan Africa,7.372524335,7.23,7.301262168,102.16,54.627,0.67,176.1,225.627,0,52506.84,38.357,0,94.3,0.76,0,21.1
SLE,Sierra Leone,Sub-Saharan Africa,7.044659152,5.75,6.397329576,136.32,117.29,0.913,4123.202,179.096,4.5,2662.78,179.277,74.8,0,1.3,424.1,15.3
SGP,Singapore,South Asia,7.479423635,8.84,8.159711817,150.57,322.432,0.862,165605.31,257.473,0,168684.6,63.477,0.3,27.6,340.6,371.5,11.6
SVK,Slovak Rep.,Eastern Europe,8.536499891,7.3,7.918249946,108.95,381.531,0.962,59746.119,236.677,0.9,59887.259,36.691,0,116.1,194.76,337.1,17.8
SVN,Slovenia,Eastern Europe,8.822791467,7.05,7.936395733,110.95,383.686,0.937,61534.59,253.24,0,62147.365,31.09,0,109.9,163.52,319.5,24.6
ZAF,South Africa,Sub-Saharan Africa,7.695143614,6.65,7.172571807,221.63,298.508,0.778,24414.979,256.968,0.5,25013.422,156.421,16.4,65.8,55.85,406.7,15.9
ESP,Spain,Western Europe,8.758213764,7.56,8.159106882,220.86,308.524,0.845,69111.326,256.774,0,70326.182,78.246,0,84,69.53,370.8,36
LKA,Sri Lanka,South Asia,6.040721833,6.49,6.265360917,109.54,323.449,0.569,23288.916,229.254,115.6,23272.314,70.974,10.1,36.5,57.45,353.4,33.8
SDN,Sudan,Sub-Saharan Africa,4.246047171,5.36,4.803023585,185.64,84.528,0.934,8744.908,206.788,691.4,8785.862,173.989,23.2,18.9,21.68,343,15.6
SUR,Suriname,Latin America & the Caribbean,7.788563046,6.36,7.074281523,118.27,238.436,0.985,26852.014,228.593,0,27186.239,111.951,12.7,56.5,130.42,323.1,25.4
SWZ,Swaziland,Sub-Saharan Africa,6.020328657,6.46,6.240164329,94.63,147.628,0.818,15919.113,190.089,0.2,15394.355,148.955,34.4,0,2.58,392.1,15.5
SWE,Sweden,Western Europe,9.334750298,7.44,8.387375149,166.96,356.604,0.992,95725.817,252.763,0,95378.632,39.76,0,110.6,92.75,365.3,28
CHE,Switzerland,Western Europe,9.185518099,8.39,8.78775905,140.95,380.097,0.982,115713.932,258.277,0,115546.46,41.488,0,109,120.07,372.6,34.3
TJK,Tajikistan,Caucasus & Central Asia,5.652324579,6.72,6.18616229,107.17,606.559,0.984,6924.653,218.788,1.4,6256.129,69.365,16.9,0,81.16,391.6,34.2
